"HospitalName" "Address" "District" "Phone" "Update_DtTm" "Normal_Bed_Total" "Normal_Bed_Vacant" "O2_Bed_Total" "O2_Bed_Vacant" "ICU_Bed_Total" "ICU_Bed_Vacant" "All_Bed_Total" "All_Bed_Vacant" "importDate"
"CHO - Krishnagiri MCH" "\"Govt Medical College Hospital, Krishnagiri\",Gandhi Road,KRISHNAGIRI,Krishnagiri" "Krishnagiri" "9360837244" "Last Updated on: 25/05/2021 04:42 PM" 11 5 289 25 60 0 360 30 "2021-05-25"
"CHC - Lakshmi Hospital,Hosur*" "Tank Street,Hosur" "Krishnagiri" "+91 75985 20999" "Last Updated on: 25/05/2021 04:03 PM" 0 0 18 0 2 0 20 0 "2021-05-25"
"CHC - M.G.M Hospital Unit-II, Krishnagiri" "Salem national highway,Near boat house, avathanapatti,Krishnagiri,Krishnagiri" "Krishnagiri" "9342160803" "Last Updated on: 25/05/2021 03:36 PM" 0 0 45 0 0 0 45 0 "2021-05-25"
"CHC - Nathans Speciality Hospital, Krishnagiri TN." "Power house colony .2 , krishnagiri" "Krishnagiri" "8248586758" "Last Updated on: 25/05/2021 06:37 PM" 10 0 20 0 0 0 30 0 "2021-05-25"
"CHC - S.B.S. Hospital, Hosur" "Tank Street ,Hosur,Hosur,Hosur" "Krishnagiri" "9940250125 (24 x 7)" "Last Updated on: 25/05/2021 05:35 PM" 0 0 27 0 0 0 27 0 "2021-05-25"
"CHO - Santhi Hospital, Hosur" "" "Krishnagiri" "9442318732" "Last Updated on: 25/05/2021 08:49 PM" 0 0 15 0 0 0 15 0 "2021-05-25"
"CHC - Shree Arunachala Hospital,Krishnagiri*" "" "Krishnagiri" "9843751113" "Last Updated on: 25/05/2021 09:17 PM" 16 1 42 0 0 0 58 1 "2021-05-25"
"CHC - SreeChandraSekara Hospital Unit-II,Krishnagiri TN." "SF NO 806, 3-B, BASTHI,,AVALAPLLI ROAD,,HOSUR,Krishnagiri" "Krishnagiri" "9655206592" "Last Updated on: 25/05/2021 07:36 PM" 5 0 65 0 20 0 90 0 "2021-05-25"
"CHC - Sri Saraswathi Hospital& Surgical Centre" "" "Krishnagiri" "9444338553" "Last Updated on: 25/05/2021 09:07 PM" 0 0 14 0 0 0 14 0 "2021-05-25"
"CHC - St.Louis Hospital" "Bangalore road,KRISHNAGIRI ,Krishnagiri" "Krishnagiri" "9176280250 (8:00 am to 9:00pm)7904717410 (8:00pm to 8:00am)" "Last Updated on: 25/05/2021 08:32 PM" 15 4 25 3 0 0 40 7 "2021-05-25"
"CHC - St.Peter’s Medical College Hospital & Research Institute,Hosur*" "" "Krishnagiri" "8754033636" "Last Updated on: 22/05/2021 10:11 AM" 57 32 27 0 15 0 0 32 "2021-05-25"
"CHC - Star  A Speciality Hospital, Banglore Road*" "" "Krishnagiri" "9999" "Last Updated on: 24/05/2021 06:15 AM" 3 0 17 0 0 0 20 0 "2021-05-25"
"CHC - Surya Multispeciality Hospital.S. Ind. Pvt. Ltd., Hosur" "No.13/1, Tank street,Denkanikottai Road,Hosur,Hosur" "Krishnagiri" "9443240405 (8.00 AM to 8.00 PM)8111027751 (8.00PM to 8.00AM)" "Last Updated on: 25/05/2021 07:46 PM" 12 0 8 0 0 0 20 0 "2021-05-25"
"CHO - TCR Multi Speciality Hospital, Avvai Nagar" "Krishnagiri,Krishnagiri" "Krishnagiri" "9443523555" "Last Updated on: 25/05/2021 10:03 PM" 10 0 30 0 10 0 50 0 "2021-05-25"
"CCC - Tamilnadu Sericulture Training Institute, Hosur" "No:77, old bangalore road, next to govt veterinay hospital,Opposite to hosur bus depot,Tamilnadu Sericulture building ,Hosur" "Krishnagiri" "9344971868 (9am-4pm)" "Last Updated on: 25/05/2021 05:17 PM" 80 56 0 0 0 0 80 56 "2021-05-25"
"CHC - Uma Kumar Hospital, Hosur" "" "Krishnagiri" "9443230269" "Last Updated on: 25/05/2021 08:27 PM" 5 0 0 0 0 0 5 0 "2021-05-25"
"CHO - Umarani Hospital, " "1/136 A  NEAR LIC OFFICE,ANNAI SATHYA NAGAR,Krishnagiri" "Krishnagiri" "9843560606" "Last Updated on: 25/05/2021 05:38 PM" 0 0 25 0 0 0 25 0 "2021-05-25"
"CHO - VJS Hospital, Co-Operative Colony !st Cross," "" "Krishnagiri" "8072519504" "Last Updated on: 25/05/2021 09:00 PM" 0 0 15 0 0 0 15 0 "2021-05-25"
"ICCC - Veppanapalli" "Veppanapalli Government Primary Health Center,Krishnagiri" "Krishnagiri" "8778129674" "Last Updated on: 25/05/2021 02:19 PM" 80 80 0 0 0 0 80 80 "2021-05-25"
"CHC - Vijay Hospital" "#76 R, Old Bangalore Road,Old Bangalore Road,Hosur" "Krishnagiri" "9791938235" "Last Updated on: 25/05/2021 07:31 PM" 0 0 60 0 0 0 60 0 "2021-05-25"
"CHC - ABJ  Hospital, Thogaimalai" "Thogaimalai,Gh opposite,Sathira Street,Kulithalai" "Karur" "9698059840" "Last Updated on: 25/05/2021 05:28 PM" 9 0 5 0 5 0 19 0 "2021-05-25"
"CHC - ABS Hospital, Thanthonimalai" "No.161 B/5 sivasakthi nagar,Thanthoni north,Thanthonimalai,Karur" "Karur" "6381061772" "Last Updated on: 25/05/2021 05:41 PM" 0 0 55 0 25 0 80 0 "2021-05-25"
"CHC - Abishek Ortho Centre" "5/300, Ashok nagar, Andankoil east,Karur" "Karur" "9360323516" "Last Updated on: 25/05/2021 04:17 PM" 25 9 15 0 0 0 40 9 "2021-05-25"
"CHC - Amaravathi Hospital" "AMARAVATHI HOSPITAL ,NO 74 RAMANUJAM NAGAR COVAI ROAD KARUR,COVAI ROAD,Karur" "Karur" "9585111073" "Last Updated on: 25/05/2021 03:02 PM" 42 0 10 0 7 0 59 0 "2021-05-25"
"CHO - Amirthaa Medical Centre and Hospital, Thanthonimalai" "" "Karur" "8883842981" "Last Updated on: 25/05/2021 07:07 PM" 3 0 3 0 4 0 10 0 "2021-05-25"
"CHC - Ananya Ortho Care" "NO,90 NARASIMMAPURAM SOUTH,LIGHT HOUSE ,Karur" "Karur" "9629445322 (10.00AM TO 6.00PM)" "Last Updated on: 25/05/2021 03:49 PM" 1 0 1 0 1 0 3 0 "2021-05-25"
"CHC - Apollo Loga Hospital" "163, A-E,ALLWYN NAGAR,KOVAI ROAD,Karur" "Karur" "9965591211" "Last Updated on: 25/05/2021 11:00 AM" 15 0 12 0 3 0 30 0 "2021-05-25"
"CCC - Chettinad College of Engineering and Technology, Puliyur" "NH 67, Trichy - Karur Main Rd,639114,Puliyur ,Karur" "Karur" "9944864840 (8.00am To 4.00pm)8678934751 (4.00pm To 8.00am)" "Last Updated on: 25/05/2021 04:07 PM" 127 127 0 0 0 0 127 127 "2021-05-25"
"ICCC - Chinnadharapuram Upgraded Primary Health Centre" "Government Primary Health Centre,Chinnadharapuram,Chinnadharapuram,Aravakurichi" "Karur" "9952861806" "Last Updated on: 25/05/2021 04:15 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - DR. G.C. Hospital" "No.31, North Pradakshanam Road, karur,Near Thinnappa Theatre,Karur" "Karur" "96599743118925139202" "Last Updated on: 25/05/2021 06:54 PM" 4 4 10 0 1 0 15 4 "2021-05-25"
"CHC - Deepa Kannan Hospital, Muthu Nagar" "8A/2 / 33, Muthu Nagar, Karur,8A/2 -33, Muthu Nagar, Karur,Muthu Nagar,Karur" "Karur" "9047785417 (10:00AM TO 07:00PM)" "Last Updated on: 25/05/2021 03:12 PM" 12 0 7 0 2 0 21 0 "2021-05-25"
"CHC - GH  VELAYUTHAMPALAYAM" "Kagithapuram to Velayuthampalayam railway station road,,Velayuthampalayam, Tamil Nadu 639117,Pugalimalai murugan temple opposite,PUGALUR" "Karur" "271099" "Last Updated on: 25/05/2021 01:16 PM" 30 0 10 0 0 0 40 0 "2021-05-25"
"CHC - GH,ARAVAKURICHI" "Aravakurichi GH ,near Aravakurichi taluk office,Aravakurichi,Aravakurichi" "Karur" "944240932998438203059566453043" "Last Updated on: 25/05/2021 10:02 PM" 30 19 0 0 0 0 30 19 "2021-05-25"
"CHC - GH,KRISHNARAYAPURAM" "KOVAKKULAM,KRISHNARAYAPURAM,Krishnarayapuram" "Karur" "4323243555" "Last Updated on: 25/05/2021 07:18 PM" 25 25 0 0 0 0 25 25 "2021-05-25"
"CHC - GH,KULITHALAI" "" "Karur" "9787597851" "Last Updated on: 25/05/2021 04:29 PM" 85 37 10 0 5 0 100 37 "2021-05-25"
"CHC - GH,MANMANGALAM" "GOVERNMENT HOSPITAL , MANMANGALAM,SALEM MAIN ROAD , MANMANGALAM, KARUR ,MANMANGALAM,Manmangalam" "Karur" "9943737952" "Last Updated on: 25/05/2021 05:15 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - GH,MYLAMPATTI" "" "Karur" "9443223877" "Last Updated on: 25/05/2021 04:16 PM" 50 40 0 0 0 0 50 40 "2021-05-25"
"CHC - GH,PALLAPATTI" "" "Karur" "7904901662" "Last Updated on: 25/05/2021 04:09 PM" 50 42 0 0 0 0 50 42 "2021-05-25"
"CCC - Government Arts college, Karur" "Bharathidasan Nagar Road,Thanthoni,Thanthoni,Karur" "Karur" "9003756647" "Last Updated on: 25/05/2021 09:00 PM" 200 58 0 0 0 0 200 58 "2021-05-25"
"CCC - Govt. Politechnic,Kaniyalampatti" "123,Govt. Politechnic,Kaniyalampatti, Kadavur,621301,kaniyalampatti,Kadavur" "Karur" "9940849573" "Last Updated on: 25/05/2021 04:09 PM" 50 50 0 0 0 0 50 50 "2021-05-25"
"ICCC - Inungur UGPHC" "Primary Health  Centre,Inungur,63910,Inungur,Kulithalai" "Karur" "9944189758" "Last Updated on: 25/05/2021 04:10 PM" 30 29 0 0 0 0 30 29 "2021-05-25"
"CHC - K.G.Hospital,Karur" "" "Karur" "9999" "Last Updated on: 25/05/2021 09:15 PM" 5 1 4 0 0 0 9 1 "2021-05-25"
"CCC - KASTHURIBA ULB PHC" "North Madavalagam Road,,Madavilagam,,Karur - 639001.,Karur" "Karur" "8056902461 (8.00am To 4.00pm)" "Last Updated on: 25/05/2021 04:20 PM" 15 15 0 0 0 0 15 15 "2021-05-25"
"CHO - Kabila Hospital" "No.33 Gowripuram west,Karur,Karur" "Karur" "8946092066" "Last Updated on: 25/05/2021 03:37 PM" 9 0 5 0 1 0 15 0 "2021-05-25"
"ICCC - Kaniyalampatti Upgraded Primary Health Centre" "Primary Health Centre,Kaniyalampatt,Kadavur" "Karur" "9940849573" "Last Updated on: 25/05/2021 04:19 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHO - Karur GMCH" "Gandhigramam North,Karur" "Karur" "7339031031" "Last Updated on: 25/05/2021 03:52 PM" 130 0 300 0 70 0 500 0 "2021-05-25"
"CHO - Karur Nursing Home, Chairman Ramanujam Street" "17/34, chairman Ramanujam street ,kamatchiamman kovil  opp,Karur,Karur" "Karur" "9842403198" "Last Updated on: 25/05/2021 03:40 PM" 5 0 2 0 4 0 11 0 "2021-05-25"
"CHO - Krishna Medical Centre Hospital, Covai Road" "Krishna Medical Center Hospital,Covai main road,Vadivel street,Manmangalam" "Karur" "7373743646" "Last Updated on: 25/05/2021 02:57 PM" 9 0 7 0 4 0 20 0 "2021-05-25"
"ICCC - Malaikovilur Upgraded Primary Health Centre" "Malaikovilur Upgraded Primary Health Centre,Malaikovilu,Aravakurichi" "Karur" "9500804406" "Last Updated on: 25/05/2021 04:18 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - Nachimuthu Hospital" "5/300-2, SF 2091A, ASHOK NAGAR,COVAI ROAD, NEAR BYE-PASS JUNCTION,ANDANKOIL EAST,Karur" "Karur" "80560708339894782837" "Last Updated on: 25/05/2021 09:36 PM" 5 0 15 0 5 0 25 0 "2021-05-25"
"CHC - Nathan Hospital, Anna Arch" "93,Rajaji street ,Anna arch" "Karur" "9842007772" "Last Updated on: 25/05/2021 05:18 PM" 0 0 10 0 4 0 14 0 "2021-05-25"
"CCC - Old GH Campus" "Old GH Campus,Near Arulmigu Kalyana Paasupatheswarar Temple,Sannathi Street, Karur,Karur Municipality,Karur" "Karur" "9597146429" "Last Updated on: 25/05/2021 09:06 PM" 250 127 0 0 0 0 250 127 "2021-05-25"
"ICCC - Panchapatti Upgraded Primary Health Centre" "Government Primary Health Centre, Panchapatty,Panchapatty,Krishnarayapuram" "Karur" "9442663812" "Last Updated on: 25/05/2021 04:16 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - Raj ortho Hospital, Karur" "35,West Gowripuram,Kalaingar Arivalayam,Karur" "Karur" "8940364792 (10.00AM to 04.00PM)" "Last Updated on: 25/05/2021 07:54 PM" 5 0 6 0 1 0 12 0 "2021-05-25"
"CHC - Senthils Emergency Care Hospital, Karur" "150, COVAI ROAD, KARUR,KARUR,Karur" "Karur" "9751140909 (9.00 TO 7.00)" "Last Updated on: 25/05/2021 05:25 PM" 20 0 4 0 0 0 24 0 "2021-05-25"
"CHC - Shree Sakthi Hospital, Karur" "NO:176 KAMARAJAPURAM WEST,KARUR,KARUR,Karur" "Karur" "9042469725" "Last Updated on: 25/05/2021 04:01 PM" 12 2 3 0 0 0 15 2 "2021-05-25"
"CHC - Sri Rathina Hospital" "" "Karur" "9047077345" "Last Updated on: 25/05/2021 12:31 AM" 11 0 5 0 0 0 16 0 "2021-05-25"
"ICCC - Thogaimalai , Primary Health Centre" "Government  Primary Health Centre,Thogaimalai,Kulithalai" "Karur" "9751345325" "Last Updated on: 25/05/2021 09:07 PM" 30 22 0 0 0 0 30 22 "2021-05-25"
"ICCC - Vangal UGPHC" "Primary Health Centre , Vangal,Vangal,639116,Vangal" "Karur" "9629323119" "Last Updated on: 25/05/2021 09:14 PM" 30 25 0 0 0 0 30 25 "2021-05-25"
"ICCC - Velliyanai UGPHC" "Primary Health Centre,Velliyanai,639118,Thanthoni Block,Karur" "Karur" "9095868547" "Last Updated on: 25/05/2021 04:14 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHO - A.J.HOSPITAL.  Mission compound, Kottaram" "MISSION COMPOUND,KOTTARAM,AGASTEESWARAM,KANYAKUMARI-629703,KOTTARAM,Agastheeswaram" "Kanniyakumari" "9159701166 (6.00 AM TO 01.00 PM)9788123580 (01.00 PM TO 8.00 PM)9159701166 (8.00PM TO 10.00PM)" "Last Updated on: 25/05/2021 05:44 PM" 9 0 15 0 1 0 25 0 "2021-05-25"
"ICCC - AGATHEESWARAM CCC" "NEAR AGASTEESWARAM MARKET,AGASTEESWARAM,Agastheeswaram" "Kanniyakumari" "8489549475" "Last Updated on: 25/05/2021 05:30 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - Aaditya Hospital, Nagercoil" "95/A3, PWD ROAD , ,Chettikulam junction ,nagercoil,Nagercoil.,Agastheeswaram" "Kanniyakumari" "8056562175 (7.00 pm to 9.00 am)8056574520 (9 am to 7 pm)" "Last Updated on: 25/05/2021 05:30 PM" 7 2 7 0 1 0 15 2 "2021-05-25"
"CHC - Annammal Hospital, Kuzhithurai" "Annammal Hospital,Hill ward,Kuzhithurai,Vilavancode" "Kanniyakumari" "9788860027" "Last Updated on: 25/05/2021 06:16 PM" 5 0 20 0 5 0 30 0 "2021-05-25"
"CHC - Bensam Hospital" "MS Road,Veturnimadam,Agastheeswaram" "Kanniyakumari" "3000589218" "Last Updated on: 25/05/2021 06:52 PM" 0 0 64 0 1 0 65 0 "2021-05-25"
"CHC - Bethesda Hospital, Nagercoil" "34H & 35 Distillary Road,,Nagercoil,opposite to SBI ,Vadasery Branch,Agastheeswaram" "Kanniyakumari" "9566519491" "Last Updated on: 25/05/2021 03:43 PM" 3 0 27 0 7 0 37 0 "2021-05-25"
"CHO - Bewell Hospitals, Nagarkovil" "" "Kanniyakumari" "9551167317" "Last Updated on: 25/05/2021 04:30 PM" 10 0 16 0 2 0 28 0 "2021-05-25"
"ICCC - C.R. Puthoor" "CHENBAGARAMANPUTHOOR PHC,NEXT TO GOVERNMENT SCHOOL,CHENBAGARAMANPUTHOOR,Thovalai" "Kanniyakumari" "9443432624" "Last Updated on: 25/05/2021 04:53 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - CSI Medical Mission Hospital Neyoor" "Kanyakumari Medical Mission, C.S.I. Mission Hospital, Neyyoor,Kalkulam" "Kanniyakumari" "04651222222" "Last Updated on: 25/05/2021 03:48 PM" 187 10 50 0 13 0 250 10 "2021-05-25"
"CHC - Calwin Hospitals, Nagercoil" "108A2/1B5, Pattagasalianvilai, Eathamozhy Road,Nagercoil,Agastheeswaram" "Kanniyakumari" "9361662200 (10.00 AM To 6.00 PM)" "Last Updated on: 25/05/2021 06:15 PM" 0 0 12 0 4 0 16 0 "2021-05-25"
"CHC - Catherine Booth Hospital(CBH),Nagercoil" "Boothapandi Road, Nagercoil,Agastheeswaram" "Kanniyakumari" "9443536924" "Last Updated on: 25/05/2021 03:49 PM" 28 0 21 0 6 0 55 0 "2021-05-25"
"CHC - DR. JEYASEKHARAN HOSPITAL & NURSING HOME" "DR. JEYASEKHARAN HOSPITAL & NURSING HOME,K.P.ROAD,NAGERCOIL,Agastheeswaram" "Kanniyakumari" "9443992484" "Last Updated on: 25/05/2021 05:21 PM" 38 0 62 0 20 0 120 0 "2021-05-25"
"CHC - Dr. Kumaraswami Health Centre, Perumalpuram" "" "Kanniyakumari" "7397617648" "Last Updated on: 25/05/2021 08:43 PM" 40 15 8 0 2 0 50 15 "2021-05-25"
"ICCC - Edaicode" "Primary Health Center,KALLUPPALLAM,Edaicode,Vilavancode" "Kanniyakumari" "8281528217" "Last Updated on: 25/05/2021 05:31 PM" 10 10 0 0 0 0 10 10 "2021-05-25"
"CHC - GH Bhoothapandy" "NEAR BOOTHAPANDY POLIICE STATION,BOOTHAPANDY,Thovalai" "Kanniyakumari" "9487016879" "Last Updated on: 24/05/2021 10:12 AM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - GH Colachel" "SH180, COLACHEL,COLACHEL,Kalkulam" "Kanniyakumari" "9941143874" "Last Updated on: 25/05/2021 05:57 PM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - GH Kulasekaram" "SH 45, KULASEKARAM,KULASEKARAM,Thiruvattar" "Kanniyakumari" "8138004730" "Last Updated on: 25/05/2021 04:31 PM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - GH Kuzhithurai" "NH47, MAIN ROAD,MARTHANDAM,Vilavancode" "Kanniyakumari" "9443450349" "Last Updated on: 25/05/2021 03:57 PM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - GH Padmanabapuram" "Government Headquarters hospital,padmanabapuram,Thuckalay,Kalkulam" "Kanniyakumari" "9443108395" "Last Updated on: 25/05/2021 05:31 PM" 124 99 64 4 6 0 194 103 "2021-05-25"
"CHC - GRACE HOSPITAL AND NURSING HOME" "PPM JUNCTION,KALIAKKAVILAI,KALIAKKAVILAI,Vilavancode" "Kanniyakumari" "94420753459943678729" "Last Updated on: 25/05/2021 04:56 PM" 17 16 7 0 6 0 30 16 "2021-05-25"
"CCC - Government polytechnic college, Konam" "" "Kanniyakumari" "8754147838" "Last Updated on: 25/05/2021 05:20 PM" 275 91 0 0 0 0 275 91 "2021-05-25"
"CHC - Govt. Ayurveda Hospital" "CHIDAMBARA NAGAR,OPPOSITE KOTTAR POLICE STATION,KOTTAR,Agastheeswaram" "Kanniyakumari" "9677326143" "Last Updated on: 25/05/2021 04:14 PM" 40 0 160 18 0 0 200 18 "2021-05-25"
"CHC - Holy Cross Hospital" "VETTURNIMADAM,Agastheeswaram" "Kanniyakumari" "9486511799" "Last Updated on: 25/05/2021 03:54 PM" 45 0 23 0 2 0 70 0 "2021-05-25"
"CHC - J.J.Hospital, Nagercoil" "100/B ,jj hospital road,Kottar post,Nagercoil ,Agastheeswaram" "Kanniyakumari" "94422 30619 " "Last Updated on: 25/05/2021 04:05 PM" 16 0 5 0 4 0 25 0 "2021-05-25"
"CHC - Jeppiar Remibai Hospital, Vellimalai" "Moonkilvilai,Kalkulam" "Kanniyakumari" "9487370200" "Last Updated on: 25/05/2021 11:46 AM" 17 15 5 2 3 0 25 17 "2021-05-25"
"CHC - Joseph Sahayam Speciality Hospital, Nagercoil" "Ganesapuram , Nagercoil,Agastheeswaram" "Kanniyakumari" "9585825293" "Last Updated on: 25/05/2021 03:56 PM" 31 0 31 1 6 2 68 3 "2021-05-25"
"CHO - KKMCH, Asaripallam" "kanyakumari government medical college,asaripallam,629201,Agastheeswaram" "Kanniyakumari" "9443142633" "Last Updated on: 25/05/2021 04:33 PM" 283 73 482 0 147 0 912 73 "2021-05-25"
"ICCC - KUTTAKUZHI UPGRADED PRIMARY HEALTH CENTER" "POWDIKONAM,KUTTAKUZHI,Thiruvattar" "Kanniyakumari" "9442188615" "Last Updated on: 25/05/2021 05:32 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"ICCC - Killiyoor" "THOLAYAVATTAM,KILLIYOOR,Killiyoor" "Kanniyakumari" "8220789659" "Last Updated on: 25/05/2021 05:22 PM" 30 27 0 0 0 0 30 27 "2021-05-25"
"ICCC - Kothanalloor" "MUTTAICADU,KOTHANALLOOR,Kalkulam" "Kanniyakumari" "9488103445" "Last Updated on: 25/05/2021 05:03 PM" 10 8 0 0 0 0 10 8 "2021-05-25"
"ICCC - Kurunthencode" "Kurunthencode PHC,Alanvilai Karankadu(post),Alanvilai Karankadu(post),Kalkulam" "Kanniyakumari" "9443182727" "Last Updated on: 25/05/2021 05:18 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CHC - Mookambika Medical College" "PADANILAM ,KULASEKHARAM,KULASEKHARAM,Thiruvattar" "Kanniyakumari" "7598798993" "Last Updated on: 25/05/2021 04:07 PM" 189 129 60 43 16 9 265 181 "2021-05-25"
"CHC - Morris Mathias Hospital, Nagercoil" "355,KP ROAD, NAGERCOIL,Agastheeswaram" "Kanniyakumari" "9843461901" "Last Updated on: 25/05/2021 07:05 PM" 26 0 24 0 8 0 58 0 "2021-05-25"
"CCC - PIONEER KUMARASAMY COLLEGE" "M.S.ROAD, VETTURNIMADAM,NAGERCOIL,Agastheeswaram" "Kanniyakumari" "9994224420" "Last Updated on: 25/05/2021 05:24 PM" 251 73 0 0 0 0 251 73 "2021-05-25"
"CHC - PPK Hospital, Marthandam" "04651 275135,Vilavancode" "Kanniyakumari" "9865669160" "Last Updated on: 25/05/2021 04:54 PM" 24 17 25 0 7 0 56 17 "2021-05-25"
"ICCC - Rajakkamangalam" "RAJAKAMANGALAM THURAI,RAJAKAMANGALAM,Agastheeswaram" "Kanniyakumari" "8056480321" "Last Updated on: 25/05/2021 05:33 PM" 30 30 0 0 0 0 30 30 "2021-05-25"
"CCC - SLB Hr.Sec.School , Nagercoil" "COURT ROAD,NAGERCOIL,Agastheeswaram" "Kanniyakumari" "9600973700" "Last Updated on: 25/05/2021 05:27 PM" 250 250 0 0 0 0 250 250 "2021-05-25"
"CCC - Scott christian college, Nagercoil" "WEAVERS COLONY,NAGERCOIL,Agastheeswaram" "Kanniyakumari" "8072281575" "Last Updated on: 25/05/2021 05:21 PM" 242 108 0 0 0 0 242 108 "2021-05-25"
"CHC - Siva Hospital, Nagercoil" "VAITHIYANATHAPURAM, KOTTAR,Agastheeswaram" "Kanniyakumari" "8973327272" "Last Updated on: 25/05/2021 07:06 PM" 25 0 20 0 5 0 50 0 "2021-05-25"
"CHO - Sivanthi Hospital" "1/5a Vivekananada puram ,Agastheeswaram" "Kanniyakumari" "6383433643" "Last Updated on: 25/05/2021 03:50 PM" 1 1 12 0 2 1 15 2 "2021-05-25"
"CHC - Swamiyarmadam Rathna Memorial Hospital" "11/208, Main Road, Swamiyarmadam, Kattathurai Post,11/208, Main Road, Swamiyarmadam, Kattathurai Post,Swamiyarmadam,Thiruvattar" "Kanniyakumari" "9750973288" "Last Updated on: 25/05/2021 03:32 PM" 48 0 16 0 14 0 78 0 "2021-05-25"
"CCC - Thadikkarankonam" "GOVERMENT UPGRADED PRIMARY HEALTH CENTRE,NEAR THADIKKARANKONAM MARKET,THADIKARANKONAM,Thovalai" "Kanniyakumari" "9895827668" "Last Updated on: 25/05/2021 04:51 PM" 10 10 0 0 0 0 10 10 "2021-05-25"
"CHC - Thasiah Medical Centre, Marthandam" "NEAR NEW BUS STAND,MARTHANDAM,Vilavancode" "Kanniyakumari" "9488106600" "Last Updated on: 25/05/2021 07:47 PM" 7 3 13 4 10 7 30 14 "2021-05-25"
"CHO - Thilagaram Nursing Home, Nagercoil*" "" "Kanniyakumari" "9443331899" "Last Updated on: 25/05/2021 03:55 PM" 0 0 15 0 5 0 20 0 "2021-05-25"
"ICCC - Thoothoor" "NEAR VELANKANNI KURUSADY,THOOTHOOR,Vilavancode" "Kanniyakumari" "9443692567" "Last Updated on: 25/05/2021 04:42 PM" 10 10 0 0 0 0 10 10 "2021-05-25"
"CHC - Vasantham Hospital, Nagercoil" "Dennison Road ,Nagercoil,Agastheeswaram" "Kanniyakumari" "9791956876" "Last Updated on: 25/05/2021 04:14 PM" 33 4 50 0 17 0 100 4 "2021-05-25"
"CHO - Vijayakumar Hospital,Swamiyarmadam" "VIJAYAKUMAR HOSPITAL, SWAMIYARMADAM,KATTATHURAI,SWAMIYARMADAM,Kalkulam" "Kanniyakumari" "9442928648" "Last Updated on: 25/05/2021 12:52 AM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - William Hospital   Nagercoil" "Ms road Krishnan Koil, Nagercoil,Agastheeswaram" "Kanniyakumari" "9597221977" "Last Updated on: 25/05/2021 03:42 PM" 0 0 9 0 1 0 10 0 "2021-05-25"
"CHC - manuel orthopeadic hospital" "therekkalputhoor,thirupathisaram po,thiruneveli main road,,Thovalai" "Kanniyakumari" "9994964708" "Last Updated on: 25/05/2021 05:10 PM" 0 0 20 0 5 0 25 0 "2021-05-25"
"CHC - Aayushmaan Holistic health centre " "No 72, kundrathur- Sriperumbudur Road, ,Puduper , opp CIT College,,KUNDRATHUR ,SRIPERUMBUDUR" "Kancheepuram" "9962331777" "Last Updated on: 25/05/2021 06:55 PM" 35 6 5 0 0 0 40 6 "2021-05-25"
"CHC - Bon Secours Hospital, Sunguvarchatram" "Sunguvarchathiram,Molasur,SRIPERUMBUDUR" "Kancheepuram" "04427165249 (8 AM TO 8 PM)" "Last Updated on: 25/05/2021 04:34 PM" 25 15 5 0 0 0 30 15 "2021-05-25"
"CCC - CCC - Elichur" "Labour welfare Association building,KUNDRATHUR" "Kancheepuram" "04427237107" "Last Updated on: 25/05/2021 05:14 PM" 500 320 0 0 0 0 500 320 "2021-05-25"
"CCC - CCC - Pallavan - Kolivakkam" "PALLAVAN POLYTECHNIC COLLEGE, KOLIVAKKAM,KANCHEEPURAM" "Kancheepuram" "04427237107" "Last Updated on: 25/05/2021 05:16 PM" 0 0 0 0 0 0 0 0 "2021-05-25"
"CHC - Dr. Venkatesan Bone Joint Neuro and Trauma Centre" "" "Kancheepuram" "9597122777" "Last Updated on: 25/05/2021 05:24 PM" 10 5 4 0 1 0 15 5 "2021-05-25"
"CHC - Easymom Fertility and Maternity care  " "Plot 1A, Mambakkam Main road, Vengaivasal, Medavakam,Chennai,Medavakkam,TAMBARAM" "Kancheepuram" "04471650111" "Last Updated on: 25/05/2021 02:42 PM" 8 0 4 0 0 0 12 0 "2021-05-25"
"CHO - Gandhi Hospital, Irungattukottai*" "" "Kancheepuram" "7010034404" "Last Updated on: 25/05/2021 04:10 PM" 2 0 5 0 0 0 7 0 "2021-05-25"
